2013-05-10 03:13:44 status unpacked sysv-rc:all 2.88dsf-41
2013-05-10 03:13:44 status unpacked sysv-rc:all 2.88dsf-41
2013-05-10 03:13:44 install sysvinit:armhf <none> 2.88dsf-41
2013-05-10 03:13:44 status half-installed sysvinit:armhf 2.88dsf-41
2013-05-10 03:13:44 status unpacked sysvinit:armhf 2.88dsf-41
2013-05-10 03:13:44 status unpacked sysvinit:armhf 2.88dsf-41
2013-05-10 03:13:45 install sysvinit-utils:armhf <none> 2.88dsf-41
2013-05-10 03:13:45 status half-installed sysvinit-utils:armhf 2.88dsf-41
2013-05-10 03:13:45 status unpacked sysvinit-utils:armhf 2.88dsf-41
2013-05-10 03:13:45 status unpacked sysvinit-utils:armhf 2.88dsf-41
2013-05-10 03:13:45 install tar:armhf <none> 1.26+dfsg-0.1
2013-05-10 03:13:45 status half-installed tar:armhf 1.26+dfsg-0.1
2013-05-10 03:13:45 status unpacked tar:armhf 1.26+dfsg-0.1
2013-05-10 03:13:45 status unpacked tar:armhf 1.26+dfsg-0.1
2013-05-10 03:13:46 install tzdata:all <none> 2013b-2
2013-05-10 03:13:46 status half-installed tzdata:all 2013b-2
2013-05-10 03:13:47 status unpacked tzdata:all 2013b-2
2013-05-10 03:13:47 status unpacked tzdata:all 2013b-2
2013-05-10 03:13:47 install libustr-1.0-1:armhf <none> 1.0.4-3
2013-05-10 03:13:47 status half-installed libustr-1.0-1:armhf 1.0.4-3
2013-05-10 03:13:47 status unpacked libustr-1.0-1:armhf 1.0.4-3
2013-05-10 03:13:47 status unpacked libustr-1.0-1:armhf 1.0.4-3
2013-05-10 03:13:47 install bsdutils:armhf <none> 1:2.20.1-5.3
2013-05-10 03:13:47 status half-installed bsdutils:armhf 1:2.20.1-5.3
2013-05-10 03:13:47 status unpacked bsdutils:armhf 1:2.20.1-5.3
2013-05-10 03:13:47 status unpacked bsdutils:armhf 1:2.20.1-5.3
2013-05-10 03:13:48 install libblkid1:armhf <none> 2.20.1-5.3
2013-05-10 03:13:48 status half-installed libblkid1:armhf 2.20.1-5.3
2013-05-10 03:13:48 status unpacked libblkid1:armhf 2.20.1-5.3
2013-05-10 03:13:48 status unpacked libblkid1:armhf 2.20.1-5.3
2013-05-10 03:13:48 install libmount1:armhf <none> 2.20.1-5.3
2013-05-10 03:13:48 status half-installed libmount1:armhf 2.20.1-5.3
2013-05-10 03:13:48 status unpacked libmount1:armhf 2.20.1-5.3
2013-05-10 03:13:48 status unpacked libmount1:armhf 2.20.1-5.3
2013-05-10 03:13:48 install libuuid1:armhf <none> 2.20.1-5.3
2013-05-10 03:13:48 status half-installed libuuid1:armhf 2.20.1-5.3
2013-05-10 03:13:49 status unpacked libuuid1:armhf 2.20.1-5.3
2013-05-10 03:13:49 status unpacked libuuid1:armhf 2.20.1-5.3
2013-05-10 03:13:49 install mount:armhf <none> 2.20.1-5.3
2013-05-10 03:13:49 status half-installed mount:armhf 2.20.1-5.3
2013-05-10 03:13:49 status unpacked mount:armhf 2.20.1-5.3
2013-05-10 03:13:49 status unpacked mount:armhf 2.20.1-5.3
2013-05-10 03:13:49 install util-linux:armhf <none> 2.20.1-5.3
2013-05-10 03:13:49 status half-installed util-linux:armhf 2.20.1-5.3
2013-05-10 03:13:50 status unpacked util-linux:armhf 2.20.1-5.3
2013-05-10 03:13:50 status unpacked util-linux:armhf 2.20.1-5.3
2013-05-10 03:13:50 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2013-05-10 03:13:50 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2013-05-10 03:13:50 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2013-05-10 03:13:50 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2013-05-10 03:13:51 install xz-utils:armhf <none> 5.1.1alpha+20120614-2
2013-05-10 03:13:51 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2013-05-10 03:13:51 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2013-05-10 03:13:51 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2013-05-10 03:13:51 install zlib1g:armhf <none> 1:1.2.7.dfsg-13
2013-05-10 03:13:51 status half-installed zlib1g:armhf 1:1.2.7.dfsg-13
2013-05-10 03:13:51 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2013-05-10 03:13:51 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2013-05-10 03:13:52 startup packages configure
2013-05-10 03:13:52 configure lsb-base:all 4.1+Debian8 <none>
2013-05-10 03:13:52 status unpacked lsb-base:all 4.1+Debian8
2013-05-10 03:13:52 status half-configured lsb-base:all 4.1+Debian8
2013-05-10 03:13:52 status installed lsb-base:all 4.1+Debian8
2013-05-10 03:13:52 configure ncurses-base:all 5.9-10 <none>
2013-05-10 03:13:52 status unpacked ncurses-base:all 5.9-10
2013-05-10 03:13:52 status unpacked ncurses-base:all 5.9-10
2013-05-10 03:13:52 status half-configured ncurses-base:all 5.9-10
2013-05-10 03:13:52 status installed ncurses-base:all 5.9-10
2013-05-10 03:13:52 configure sensible-utils:all 0.0.7 <none>
2013-05-10 03:13:52 status unpacked sensible-utils:all 0.0.7
2013-05-10 03:13:52 status half-configured sensible-utils:all 0.0.7
2013-05-10 03:13:52 status installed sensible-utils:all 0.0.7
2013-05-10 03:13:52 configure libsemanage-common:all 2.1.6-6 <none>
2013-05-10 03:13:52 status unpacked libsemanage-common:all 2.1.6-6
2013-05-10 03:13:52 status unpacked libsemanage-common:all 2.1.6-6
